Task: 1, Test Name: Filters label should be displayed, DOM Id: SPAN____209, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Pass
Task: 1, Test Name: Open Filter icon should be displayed, DOM Id: ti-filter, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Pass
Task: 1, Test Name: Add to Favorite icon should be displayed for all products, DOM Id: I__tiheart__226, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Fail
Task: 1, Test Name: Add to Compare icon should be displayed for all products, DOM Id: I__ticontrols__230, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Fail
Task: 1, Test Name: Add to Cart icon should be displayed for all products, DOM Id: I__tishopping__234, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Fail
Task: 1, Test Name: Quick Links section should be expanded in footer, DOM Id: collapse_1, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Pass
Task: 1, Test Name: Contacts section should be expanded in footer, DOM Id: collapse_3, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Pass
Task: 1, Test Name: Keep In Touch section should be expanded in footer, DOM Id: collapse_4, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Pass
Task: 1, Test Name: Filter Column should not be displayed, DOM Id: filter_col, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Pass
Task: 1, Test Name: Number of cart items should be displayed, DOM Id: STRONG____50, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Pass
Task: 1, Test Name: Mobile search button should not be displayed, DOM Id: A__btnsearchm__59, Browser: firefox, Viewport: 768x700, Device: tablet, Status: Pass
Task: 1, Test Name: Search field should not be displayed, DOM Id: INPUTtext____42, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Fail
Task: 1, Test Name: Wishlist heart icon should not be displayed, DOM Id: A__wishlist__52, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Fail
Task: 1, Test Name: Grid View icon should not be displayed, DOM Id: I__tiviewgrid__203, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Fail
Task: 1, Test Name: List View icon should not be displayed, DOM Id: I__tiviewlist__205, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Fail
Task: 1, Test Name: Filters label should not be displayed, DOM Id: SPAN____209, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Pass
Task: 1, Test Name: Open Filter icon should be displayed, DOM Id: ti-filter, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Pass
Task: 1, Test Name: Add to Favorite icon should be displayed for all products, DOM Id: I__tiheart__226, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Fail
Task: 1, Test Name: Add to Compare icon should be displayed for all products, DOM Id: I__ticontrols__230, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Fail
Task: 1, Test Name: Add to Cart icon should be displayed for all products, DOM Id: I__tishopping__234, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Fail
Task: 1, Test Name: Quick Links section should be collapsed in footer, DOM Id: collapse_1, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Fail
Task: 1, Test Name: Contacts section should be collapsed in footer, DOM Id: collapse_3, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Pass
Task: 1, Test Name: Keep In Touch section should be collapsed in footer, DOM Id: collapse_4, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Pass
Task: 1, Test Name: Filter Column should not be displayed, DOM Id: filter_col, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Pass
Task: 1, Test Name: Number of cart items should not be displayed, DOM Id: STRONG____50, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Fail
Task: 1, Test Name: Mobile search button should be displayed, DOM Id: A__btnsearchm__59, Browser: chrome, Viewport: 375x812, Device: mobile, Status: Pass
Task: 2, Test Name: Filter by Black color, there should only be two results - 0, DOM Id: DIV__griditem__212, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Fail
Task: 2, Test Name: Shoes name should be displayed for all products, DOM Id: H3____219, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: Shoes name should be displayed for all products, DOM Id: H3____242, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: Shoes name should be displayed for all products, DOM Id: H3____266, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: New price should be displayed for all products, DOM Id: SPAN__newprice__221, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: New price should be displayed for all products, DOM Id: SPAN__newprice__244, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: New price should be displayed for all products, DOM Id: SPAN__newprice__268, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: A product image should be present for all products, DOM Id: product_1, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: A product image should be present for all products, DOM Id: product_8, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: A product image should be present for all products, DOM Id: product_2, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__226, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__248, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 2, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__273, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
